"TABLE_NAME","COLUMN_NAME","REF_TABLE"
"PROVEEDORES","ID_PERSONA","PERSONAS"
"RECEPCIONES_COMPRA","ID_ORDEN_COMPRA","ORDENES_COMPRA"
"RECEPCIONES_COMPRA","ID_EMPLEADO","EMPLEADOS"
"RECEPCIONES_COMPRA","ID_COMPROBANTE","COMPROBANTES_PROVEEDOR"
"RECURSOS","ID_PRIV_REQUERIDO","PRIVILEGIOS"
"RESERVAS_PRODUCTO","ID_OFICINA","OFICINAS"
"RESERVAS_PRODUCTO","ID_ORDEN_VENTA","ORDENES_VENTA"
"RESERVAS_PRODUCTO","ID_PRODUCTO","PRODUCTOS"
"ROLES_PRIVILEGIOS","ID_PRIV","PRIVILEGIOS"
"ROLES_PRIVILEGIOS","ID_ROL","ROLES"
"SECTORES","ID_OFICINA","OFICINAS"
"SOLICITUDES_NOTA_CREDITO","ID_COMPROBANTE_ORIGEN","COMPROBANTES"
"SOLICITUDES_NOTA_CREDITO","ID_NC_GENERADA","COMPROBANTES"
"SOLICITUDES_NOTA_CREDITO","COD_MOTIVO","MOTIVOS_NOTA_CREDITO"
"SOLICITUDES_REVERSO_COBRO","ID_MOVIMIENTO_EGRESO","MOVIMIENTOS_CAJA"
"SOLICITUDES_REVERSO_COBRO","ID_MOVIMIENTO","MOVIMIENTOS_CAJA"
"SOLICITUD_NC_DETALLE","ID_DETALLE_ORIGEN","DETALLE_COMPROBANTE"
"SOLICITUD_NC_DETALLE","ID_SOLICITUD_NC","SOLICITUDES_NOTA_CREDITO"
"STOCK_PRODUCTO","ID_OFICINA","OFICINAS"
"STOCK_PRODUCTO","ID_PRODUCTO","PRODUCTOS"
"TALONARIOS","ID_CAJA_CONF","CAJA_CONF"
"TALONARIOS","ID_OFICINA","OFICINAS"
"TELEFONOS","ID_PERSONA","PERSONAS"
"TIPOS_CAMBIO","COD_MONEDA_BASE","MONEDAS"
"TIPOS_CAMBIO","COD_MONEDA_COTIZADA","MONEDAS"
"TRANSFERENCIAS_STOCK","ID_OFICINA_DESTINO","OFICINAS"
"TRANSFERENCIAS_STOCK","ID_OFICINA_ORIGEN","OFICINAS"
"TRANSFERENCIAS_STOCK","ID_PRODUCTO","PRODUCTOS"
"UBICACIONES","ID_SECTOR","SECTORES"
